<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.10.12	1.29535	1.30125	1.29006	1.30119	131097	0	0
2015.10.13	1.30105	1.30793	1.29555	1.30176	153847	0	0
2015.10.14	1.30176	1.30232	1.29107	1.29163	160063	0	0
2015.10.15	1.29160	1.29476	1.28313	1.28549	102852	0	0
2015.10.16	1.28553	1.29386	1.28516	1.29140	72790	0	0
2015.10.18	1.29032	1.29190	1.29032	1.29161	6337	0	0
2015.10.19	1.29167	1.30276	1.29009	1.30211	75475	0	0
2015.10.20	1.30212	1.30465	1.29345	1.29860	80281	0	0
2015.10.21	1.29862	1.31439	1.29678	1.31337	94352	0	0
2015.10.22	1.31332	1.31589	1.30831	1.31063	140218	0	0
2015.10.23	1.31053	1.31976	1.30391	1.31698	152219	0	0
2015.10.25	1.31603	1.31763	1.31597	1.31716	6047	0	0
2015.10.26	1.31723	1.31830	1.31202	1.31557	149670	0	0
2015.10.27	1.31564	1.32726	1.31555	1.32692	152648	0	0
2015.10.28	1.32689	1.32788	1.30891	1.31947	166799	0	0
2015.10.29	1.31943	1.32373	1.31321	1.31603	153351	0	0
2015.10.30	1.31600	1.31920	1.30549	1.30650	153357	0	0
2015.11.01	1.30741	1.30763	1.30630	1.30747	5019	0	0
2015.11.02	1.30748	1.31157	1.30640	1.30933	129374	0	0
2015.11.03	1.30938	1.31643	1.30371	1.30650	148523	0	0
2015.11.04	1.30649	1.31911	1.30445	1.31557	151389	0	0
2015.11.05	1.31560	1.31856	1.31400	1.31605	155631	0	0
2015.11.06	1.31601	1.33170	1.31563	1.32988	130434	0	0
2015.11.08	1.33013	1.33074	1.32958	1.32968	1574	0	0
2015.11.09	1.32967	1.33094	1.32448	1.32674	109585	0	0
2015.11.10	1.32669	1.32965	1.32441	1.32642	107267	0	0
2015.11.11	1.32641	1.32828	1.32314	1.32548	108756	0	0
2015.11.12	1.32537	1.33405	1.32240	1.32833	125688	0	0
2015.11.13	1.32834	1.33487	1.32662	1.33237	102738	0	0
2015.11.15	1.33062	1.33242	1.33042	1.33172	5033	0	0
2015.11.16	1.33175	1.33700	1.32894	1.33316	113056	0	0
2015.11.17	1.33315	1.33434	1.32964	1.33171	115955	0	0
2015.11.18	1.33173	1.33680	1.32933	1.32990	102465	0	0
2015.11.19	1.32981	1.33030	1.32458	1.32945	116840	0	0
2015.11.20	1.32939	1.33549	1.32697	1.33515	120274	0	0
2015.11.22	1.33380	1.33575	1.33322	1.33565	2235	0	0
2015.11.23	1.33573	1.34351	1.33345	1.33615	121544	0	0
2015.11.24	1.33621	1.33768	1.32835	1.33048	113963	0	0
2015.11.25	1.33043	1.33383	1.32791	1.32966	109864	0	0
2015.11.26	1.32966	1.33236	1.32835	1.32940	87158	0	0
2015.11.27	1.32968	1.33747	1.32914	1.33746	80903	0	0
2015.11.29	1.33633	1.33728	1.33624	1.33671	2046	0	0
2015.11.30	1.33673	1.33921	1.33114	1.33481	101319	0	0
2015.12.01	1.33491	1.33948	1.33088	1.33602	120166	0	0
2015.12.02	1.33605	1.34068	1.33073	1.33486	118549	0	0
